,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
284,2023,SE,FT,Data Scientist,195000.0,USD,195000.0,US,0,US,M
285,2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
288,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
289,2023,SE,FT,Data Scientist,135000.0,USD,135000.0,US,0,US,M
290,2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
291,2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
292,2023,SE,FT,Data Scientist,199000.0,USD,199000.0,US,0,US,M
293,2023,SE,FT,Data Scientist,162000.0,USD,162000.0,US,0,US,M
302,2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
303,2023,SE,FT,Data Scientist,100000.0,USD,100000.0,US,100,US,M
306,2023,SE,FT,Data Scientist,245000.0,USD,245000.0,US,0,US,M
307,2023,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,M
314,2023,SE,FT,Data Scientist,210000.0,USD,210000.0,US,0,US,M
315,2023,SE,FT,Data Scientist,155000.0,USD,155000.0,US,0,US,M
318,2023,SE,FT,Data Scientist,165000.0,USD,165000.0,US,0,US,M
319,2023,SE,FT,Data Scientist,140000.0,USD,140000.0,US,0,US,M
327,2023,EN,FT,Data Scientist,70000.0,CAD,51753.0,CA,100,CA,L
334,2023,EN,FT,Data Scientist,130001.0,USD,130001.0,US,100,US,M
335,2023,EN,FT,Data Scientist,71907.0,USD,71907.0,US,100,US,M
336,2023,MI,FT,Data Scientist,93918.0,USD,93918.0,US,100,US,M
337,2023,MI,FT,Data Scientist,51962.0,USD,51962.0,US,100,US,M
346,2023,SE,FT,Data Scientist,203000.0,USD,203000.0,US,100,US,M
347,2023,SE,FT,Data Scientist,133200.0,USD,133200.0,US,100,US,M
354,2023,SE,FT,Data Scientist,185900.0,USD,185900.0,US,0,US,M
355,2023,SE,FT,Data Scientist,129300.0,USD,129300.0,US,0,US,M
356,2023,SE,FT,Data Scientist,238000.0,USD,238000.0,US,100,US,M
357,2023,SE,FT,Data Scientist,156000.0,USD,156000.0,US,100,US,M
363,2023,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
364,2023,SE,FT,Data Scientist,110000.0,USD,110000.0,US,100,US,M
385,2023,SE,FT,Data Scientist,157750.0,USD,157750.0,US,100,US,M
386,2023,SE,FT,Data Scientist,104650.0,USD,104650.0,US,100,US,M
387,2023,MI,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,M
388,2023,MI,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
389,2023,EX,FT,Data Scientist,200000.0,USD,200000.0,US,0,US,M
390,2023,EX,FT,Data Scientist,145000.0,USD,145000.0,US,0,US,M
393,2023,SE,FT,Data Scientist,45000.0,EUR,48289.0,ES,0,ES,M
394,2023,SE,FT,Data Scientist,36000.0,EUR,38631.0,ES,0,ES,M
409,2023,SE,FT,Data Scientist,252000.0,USD,252000.0,US,0,US,M
410,2023,SE,FT,Data Scientist,154000.0,USD,154000.0,US,0,US,M
413,2023,SE,FT,Data Scientist,191765.0,USD,191765.0,US,0,US,M
414,2023,SE,FT,Data Scientist,134236.0,USD,134236.0,US,0,US,M
415,2023,SE,FT,Data Scientist,175000.0,USD,175000.0,US,100,US,M
416,2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
417,2023,SE,FT,Data Scientist,237000.0,USD,237000.0,US,100,US,M
418,2023,SE,FT,Data Scientist,145000.0,USD,145000.0,US,100,US,M
435,2023,SE,FT,Data Scientist,200000.0,USD,200000.0,US,100,US,M
436,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
437,2023,SE,FT,Data Scientist,171250.0,USD,171250.0,IE,0,IE,M
438,2023,SE,FT,Data Scientist,113750.0,USD,113750.0,IE,0,IE,M
461,2023,SE,FT,Data Scientist,258000.0,USD,258000.0,CA,0,CA,M
462,2023,SE,FT,Data Scientist,190000.0,USD,190000.0,CA,0,CA,M
463,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
464,2023,SE,FT,Data Scientist,135000.0,USD,135000.0,US,0,US,M
467,2023,SE,FT,Data Scientist,195000.0,USD,195000.0,US,0,US,M
468,2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
482,2023,SE,FT,Data Scientist,297300.0,USD,297300.0,US,100,US,M
483,2023,SE,FT,Data Scientist,198200.0,USD,198200.0,US,100,US,M
486,2023,SE,FT,Data Scientist,200000.0,USD,200000.0,US,100,US,M
487,2023,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
488,2023,SE,FT,Data Scientist,317070.0,USD,317070.0,US,0,US,M
489,2023,SE,FT,Data Scientist,170730.0,USD,170730.0,US,0,US,M
501,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
502,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
503,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
504,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
505,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
506,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
509,2022,SE,FT,Data Scientist,207000.0,USD,207000.0,US,100,US,M
510,2022,SE,FT,Data Scientist,153000.0,USD,153000.0,US,100,US,M
511,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
512,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
513,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
514,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
515,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
516,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
530,2022,MI,FT,Data Scientist,83000.0,GBP,102200.0,GB,100,GB,M
531,2022,EN,FT,Data Scientist,1800000.0,INR,22892.0,IN,50,IN,M
561,2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,L
562,2022,SE,FT,Data Scientist,165000.0,USD,165000.0,US,100,US,L
567,2022,SE,FT,Data Scientist,179400.0,USD,179400.0,US,0,US,M
568,2022,SE,FT,Data Scientist,154000.0,USD,154000.0,US,0,US,M
581,2022,EN,FT,Data Scientist,93000.0,USD,93000.0,US,0,US,M
582,2022,EN,FT,Data Scientist,73000.0,USD,73000.0,US,0,US,M
586,2022,SE,FT,Data Scientist,136994.0,USD,136994.0,US,100,US,M
587,2022,SE,FT,Data Scientist,101570.0,USD,101570.0,US,100,US,M
592,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
593,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
597,2022,SE,FT,Data Scientist,172000.0,USD,172000.0,US,100,US,M
598,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
610,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
611,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
615,2022,MI,FT,Data Scientist,70000.0,EUR,73546.0,NL,50,NL,L
616,2022,EN,FT,Data Scientist,50000.0,USD,50000.0,US,50,DE,M
618,2022,SE,FT,Data Scientist,151800.0,USD,151800.0,US,0,US,M
619,2022,SE,FT,Data Scientist,130240.0,USD,130240.0,US,0,US,M
624,2022,SE,FT,Data Scientist,179400.0,USD,179400.0,US,100,US,M
625,2022,SE,FT,Data Scientist,154000.0,USD,154000.0,US,100,US,M
626,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
627,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
628,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
629,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
630,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
631,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
639,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
640,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
641,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
642,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
645,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
646,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
649,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
650,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
651,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,0,US,M
652,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,0,US,M
654,2022,EN,FT,Data Scientist,30000.0,EUR,31520.0,ES,50,ES,M
662,2022,SE,FT,Data Scientist,204100.0,USD,204100.0,US,0,US,M
663,2022,SE,FT,Data Scientist,136100.0,USD,136100.0,US,0,US,M
666,2022,MI,FT,Data Scientist,96000.0,GBP,118208.0,GB,0,GB,M
667,2022,MI,FT,Data Scientist,90000.0,GBP,110820.0,GB,0,GB,M
669,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
670,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
671,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
672,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
673,2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
674,2022,SE,FT,Data Scientist,141525.0,USD,141525.0,US,100,US,M
680,2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
681,2022,SE,FT,Data Scientist,130000.0,USD,130000.0,US,100,US,M
686,2022,SE,FT,Data Scientist,175000.0,USD,175000.0,US,0,US,M
687,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,0,US,M
688,2022,SE,FT,Lead Data Scientist,28500.0,EUR,29944.0,PT,50,PT,S
691,2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
692,2022,SE,FT,Data Scientist,119300.0,USD,119300.0,US,0,US,L
698,2022,MI,FT,Data Scientist,225000.0,USD,225000.0,US,0,US,M
699,2022,MI,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
700,2022,MI,FT,Data Scientist,52000.0,EUR,54634.0,NL,100,NL,S
713,2022,EN,FT,Data Scientist,82000.0,USD,82000.0,US,0,US,L
714,2022,EN,PT,Data Scientist,110000.0,USD,110000.0,DO,100,FR,M
716,2022,SE,FT,Data Scientist,203500.0,USD,203500.0,US,0,US,M
717,2022,SE,FT,Data Scientist,152000.0,USD,152000.0,US,0,US,M
723,2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
724,2022,SE,FT,Data Scientist,120000.0,USD,120000.0,US,100,US,M
729,2022,MI,FT,Data Scientist,110000.0,EUR,115573.0,NL,0,NL,M
730,2022,MI,FT,Data Scientist,85000.0,EUR,89306.0,NL,0,NL,M
769,2022,SE,FT,Data Scientist,123400.0,USD,123400.0,US,0,US,M
770,2022,SE,FT,Data Scientist,88100.0,USD,88100.0,US,0,US,M
772,2022,SE,FT,Data Scientist,245000.0,USD,245000.0,US,0,US,M
773,2022,SE,FT,Data Scientist,205000.0,USD,205000.0,US,0,US,M
779,2022,EN,FT,Data Scientist,80000.0,EUR,84053.0,BE,100,BE,L
780,2022,MI,FT,Lead Data Scientist,50000.0,GBP,61566.0,GB,50,GB,S
798,2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,L
799,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,L
806,2022,MI,FT,Data Scientist,4200000.0,INR,53416.0,IN,100,ID,L
807,2022,EN,FT,Applied Data Scientist,50000.0,USD,50000.0,AT,50,AT,M
810,2022,MI,FT,Data Scientist,107000.0,GBP,131752.0,GB,100,GB,M
819,2022,EN,FT,Data Scientist,49500.0,EUR,52008.0,BE,50,BE,S
834,2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
835,2022,SE,FT,Data Scientist,100000.0,USD,100000.0,US,0,US,L
842,2022,MI,FT,Data Scientist,58000.0,EUR,60938.0,DE,100,DE,S
847,2022,MI,FT,Data Scientist,65000.0,GBP,80036.0,GB,50,GB,M
854,2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,L
855,2022,SE,FT,Data Scientist,92000.0,USD,92000.0,US,100,US,L
866,2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,L
867,2022,SE,FT,Data Scientist,119300.0,USD,119300.0,US,0,US,L
869,2022,MI,FT,Data Scientist,25000.0,USD,25000.0,TR,50,TR,M
873,2022,MI,FT,Data Scientist,153000.0,USD,153000.0,US,100,US,L
879,2022,SE,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,L
880,2022,SE,FT,Data Scientist,92000.0,USD,92000.0,US,100,US,L
891,2022,SE,FT,Data Scientist,186000.0,USD,186000.0,US,0,US,M
892,2022,SE,FT,Data Scientist,148800.0,USD,148800.0,US,0,US,M
908,2020,EN,FT,Data Scientist,43200.0,EUR,49268.0,DE,0,DE,S
911,2022,SE,FT,Data Scientist,215300.0,USD,215300.0,US,100,US,L
912,2022,SE,FT,Data Scientist,158200.0,USD,158200.0,US,100,US,L
922,2022,SE,FT,Data Scientist,170000.0,USD,170000.0,US,100,US,M
923,2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
957,2022,SE,FT,Data Scientist,215300.0,USD,215300.0,US,0,US,L
958,2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,L
961,2022,SE,FT,Data Scientist,260000.0,USD,260000.0,US,100,US,M
962,2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,100,US,M
963,2022,MI,FT,Data Scientist,55000.0,GBP,67723.0,GB,0,GB,M
964,2022,MI,FT,Data Scientist,35000.0,GBP,43096.0,GB,0,GB,M
977,2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,M
978,2022,SE,FT,Data Scientist,80000.0,USD,80000.0,US,0,US,M
985,2022,MI,FT,Data Scientist,50000.0,GBP,61566.0,GB,0,GB,M
986,2022,MI,FT,Data Scientist,30000.0,GBP,36940.0,GB,0,GB,M
989,2022,SE,FT,Data Scientist,165220.0,USD,165220.0,US,100,US,M
990,2022,SE,FT,Data Scientist,120160.0,USD,120160.0,US,100,US,M
997,2022,SE,FT,Data Scientist,180000.0,USD,180000.0,US,0,US,L
998,2022,SE,FT,Data Scientist,120000.0,USD,120000.0,US,0,US,L
1005,2022,MI,FT,Data Scientist,130000.0,USD,130000.0,US,0,US,M
1006,2022,MI,FT,Data Scientist,90000.0,USD,90000.0,US,0,US,M
1011,2022,SE,FT,Data Scientist,136620.0,USD,136620.0,US,100,US,M
1012,2022,SE,FT,Data Scientist,99360.0,USD,99360.0,US,100,US,M
1013,2022,SE,FT,Data Scientist,90000.0,GBP,110820.0,GB,0,GB,M
1014,2022,SE,FT,Data Scientist,80000.0,GBP,98506.0,GB,0,GB,M
1015,2022,SE,FT,Data Scientist,146000.0,USD,146000.0,US,100,US,M
1016,2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
1025,2022,SE,FT,Data Scientist,167000.0,USD,167000.0,US,100,US,M
1026,2022,SE,FT,Data Scientist,123000.0,USD,123000.0,US,100,US,M
1029,2022,SE,FT,Data Scientist,211500.0,USD,211500.0,US,100,US,M
1030,2022,SE,FT,Data Scientist,138600.0,USD,138600.0,US,100,US,M
1039,2022,SE,FT,Data Scientist,150000.0,USD,150000.0,US,0,US,M
1040,2022,SE,FT,Data Scientist,95550.0,USD,95550.0,US,0,US,M
1063,2022,SE,FT,Data Scientist,205300.0,USD,205300.0,US,0,US,L
1064,2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,L
1065,2022,SE,FT,Data Scientist,176000.0,USD,176000.0,US,100,US,M
1066,2022,SE,FT,Data Scientist,144000.0,USD,144000.0,US,100,US,M
1071,2022,SE,FT,Data Scientist,205300.0,USD,205300.0,US,0,US,M
1072,2022,SE,FT,Data Scientist,140400.0,USD,140400.0,US,0,US,M
1091,2022,MI,FT,Data Scientist,141300.0,USD,141300.0,US,0,US,M
1092,2022,MI,FT,Data Scientist,102100.0,USD,102100.0,US,0,US,M
1105,2022,SE,FT,Data Scientist,230000.0,USD,230000.0,US,100,US,M
1106,2022,SE,FT,Data Scientist,150000.0,USD,150000.0,US,100,US,M
1111,2022,MI,FT,Data Scientist,160000.0,USD,160000.0,US,100,US,M
1112,2022,MI,FT,Data Scientist,130000.0,USD,130000.0,US,100,US,M
1119,2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
1120,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1121,2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
1122,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1123,2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
1124,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1127,2022,SE,FT,Data Scientist,210000.0,USD,210000.0,US,100,US,M
1128,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1141,2022,SE,FT,Data Scientist,230000.0,USD,230000.0,US,100,US,M
1142,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1145,2022,SE,FT,Data Scientist,220000.0,USD,220000.0,US,100,US,M
1146,2022,SE,FT,Data Scientist,140000.0,USD,140000.0,US,100,US,M
1147,2022,MI,FT,Data Scientist,140000.0,GBP,172386.0,GB,0,GB,M
1148,2022,MI,FT,Data Scientist,70000.0,GBP,86193.0,GB,0,GB,M
1151,2022,MI,FT,Data Scientist,200000.0,USD,200000.0,US,100,US,M
1152,2022,MI,FT,Data Scientist,120000.0,USD,120000.0,US,100,US,M
1159,2022,SE,FT,Data Scientist,185100.0,USD,185100.0,US,100,US,M
1160,2022,SE,FT,Data Scientist,104890.0,USD,104890.0,US,100,US,M
1168,2022,MI,FT,Data Scientist,2400000.0,INR,30523.0,IN,100,IN,L
1171,2022,EN,FT,Data Scientist,1400000.0,INR,17805.0,IN,100,IN,M
1173,2022,MI,FT,Applied Data Scientist,157000.0,USD,157000.0,US,100,US,L
1177,2021,MI,FT,Data Scientist,109000.0,USD,109000.0,US,50,US,L
1178,2022,MI,FT,Data Scientist,88000.0,CAD,67597.0,CA,100,CA,M
1183,2022,EN,FT,Data Scientist,66500.0,CAD,51081.0,CA,100,CA,L
1184,2022,MI,FT,Data Scientist,78000.0,USD,78000.0,US,100,US,M
1188,2022,EN,FT,Data Scientist,40000.0,USD,40000.0,JP,100,MY,L
1193,2022,EN,FT,Data Scientist,120000.0,AUD,83171.0,AU,50,AU,M
1194,2022,SE,FT,Data Scientist,165000.0,USD,165000.0,US,100,US,M
1196,2022,SE,FT,Data Scientist,100000.0,USD,100000.0,BR,100,US,M
1198,2022,MI,FT,Data Scientist,150000.0,PLN,33609.0,PL,100,PL,L
1207,2022,MI,FT,Data Scientist,135000.0,USD,135000.0,US,100,US,L
1212,2021,EN,FT,Data Scientist,80000.0,USD,80000.0,US,100,US,M
1213,2022,SE,FT,Applied Data Scientist,380000.0,USD,380000.0,US,100,US,L
1214,2022,MI,FT,Data Scientist,115000.0,CHF,120402.0,CH,0,CH,L
1215,2022,SE,FT,Applied Data Scientist,177000.0,USD,177000.0,US,100,US,L
1217,2022,MI,FT,Data Scientist,48000.0,USD,48000.0,RU,100,US,S
1219,2021,SE,FT,Principal Data Scientist,220000.0,USD,220000.0,US,0,US,L
1224,2022,MI,FL,Data Scientist,100000.0,USD,100000.0,CA,100,US,M
1225,2021,EN,FT,Data Scientist,100000.0,USD,100000.0,US,0,US,S
1226,2022,EN,PT,Data Scientist,100000.0,USD,100000.0,DZ,50,DZ,M
1228,2022,SE,FT,Principal Data Scientist,148000.0,EUR,155499.0,DE,100,DE,M
1232,2021,MI,FT,Data Scientist,82500.0,USD,82500.0,US,100,US,S
1233,2021,EN,FT,Data Scientist,42000.0,EUR,49646.0,FR,50,FR,M
1234,2021,SE,FT,Lead Data Scientist,3000000.0,INR,40570.0,IN,50,IN,L
1239,2021,MI,FT,Data Scientist,700000.0,INR,9466.0,IN,0,IN,S
1242,2021,EN,FT,Applied Data Scientist,80000.0,GBP,110037.0,GB,0,GB,L
1262,2020,SE,FT,Data Scientist,60000.0,EUR,68428.0,GR,100,US,L
1272,2021,EN,FT,Data Scientist,13400.0,USD,13400.0,UA,100,UA,L
1273,2021,MI,FT,Data Scientist,95000.0,CAD,75774.0,CA,100,CA,L
1274,2021,MI,FT,Data Scientist,150000.0,USD,150000.0,US,100,US,M
1280,2021,MI,FT,Data Scientist,50000.0,USD,50000.0,NG,100,NG,L
1284,2021,MI,FT,Applied Data Scientist,68000.0,CAD,54238.0,GB,50,CA,L
1299,2020,MI,FT,Data Scientist,45760.0,USD,45760.0,PH,100,US,S
1301,2021,SE,FT,Data Scientist,45000.0,EUR,53192.0,FR,50,FR,L
1324,2020,MI,FT,Data Scientist,60000.0,GBP,76958.0,GB,100,GB,S
1326,2021,EN,FT,Data Scientist,2200000.0,INR,29751.0,IN,50,IN,L
1330,2020,MI,FT,Data Scientist,105000.0,USD,105000.0,US,100,US,L
1334,2021,EN,FT,Data Scientist,2100000.0,INR,28399.0,IN,100,IN,M
1336,2021,EN,FT,Data Scientist,90000.0,USD,90000.0,US,100,US,S
1343,2021,EN,FT,Data Scientist,31000.0,EUR,36643.0,FR,50,FR,L
1347,2021,SE,FT,Data Scientist,165000.0,USD,165000.0,US,100,US,L
1349,2021,SE,FT,Data Scientist,130000.0,CAD,103691.0,CA,100,CA,L
1352,2020,MI,FT,Lead Data Scientist,115000.0,USD,115000.0,AE,0,AE,L
1362,2020,MI,FT,Data Scientist,70000.0,EUR,79833.0,DE,0,DE,L
1369,2021,SE,FT,Data Scientist,180000.0,TRY,20171.0,TR,50,TR,L
1371,2021,EN,FT,Data Scientist,58000.0,USD,58000.0,US,50,US,L
1372,2021,EN,FT,Data Scientist,100000.0,USD,100000.0,US,100,US,M
1373,2021,SE,FT,Data Scientist,65720.0,EUR,77684.0,FR,50,FR,M
1376,2021,SE,CT,Staff Data Scientist,105000.0,USD,105000.0,US,100,US,M
1383,2021,MI,FT,Data Scientist,21600.0,EUR,25532.0,RS,100,DE,S
1385,2021,MI,FT,Data Scientist,1250000.0,INR,16904.0,IN,100,IN,S
1387,2020,SE,FT,Lead Data Scientist,190000.0,USD,190000.0,US,100,US,S
1391,2020,MI,FT,Data Scientist,11000000.0,HUF,35735.0,HU,50,HU,L
1392,2021,SE,FT,Data Scientist,135000.0,USD,135000.0,US,0,US,L
1397,2021,MI,FT,Data Scientist,147000.0,USD,147000.0,US,50,US,L
1403,2020,EN,FT,Data Scientist,45000.0,EUR,51321.0,FR,0,FR,S
